  1000    29.42    19.07    10.35 [     0   13   83 ]
  2000    30.79    20.48    10.31 [     0    1   83 ]
  3000    30.79    20.48    10.31 [     0    1   83 ]
  4000    30.79    20.48    10.31 [     0    1   83 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    28.27    15.41    12.86 [    65   70   84 ]
  2000    30.26    19.08    11.18 [     0    1   34 ]
  3000    30.26    19.08    11.18 [     0    1   34 ]
  4000    30.26    19.08    11.18 [     0    1   34 ]
  5000    30.26    19.08    11.18 [     0    1   34 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    30.73    19.41    11.32 [     0    1   32 ]
  2000    30.73    19.41    11.32 [     0    1   32 ]
  3000    30.73    19.41    11.32 [     0    1   32 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    30.48    19.56    10.92 [     0    1   10 ]
  2000    30.85    20.83    10.02 [     0    1   56 ]
  3000    30.85    20.83    10.02 [     0    1   56 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
